# Developer:  🆁🅾🅱🅴🆁🆃🅾  🅲🅰🅻🅰🅱🆁🅴🆂🅴
# City:       🅿🅰🅻🅴🆁🅼🅾, 🆂🅸🅲🅸🅻🆈
# Country:    🅸🆃🅰🅻🆈

# Colorname           Hex 8     Hex 12       Hex 16          Family
gray42                #6b6b6b   #6b66b66b6   #6b6b6b6b6b6b   gray
gray43                #6e6e6e   #6e66e66e6   #6e6e6e6e6e6e   gray
gray44                #707070   #707707707   #707070707070   gray
gray45                #737373   #737737737   #737373737373   gray
gray46                #757575   #757757757   #757575757575   gray
gray47                #787878   #787787787   #787878787878   gray
gray48                #7a7a7a   #7a77a77a7   #7a7a7a7a7a7a   gray
gray49                #7d7d7d   #7d77d77d7   #7d7d7d7d7d7d   gray
gray50                #7f7f7f   #7f77f77f7   #7f7f7f7f7f7f   gray
gray51                #828282   #828828828   #828282828282   gray
gray52                #858585   #858858858   #858585858585   gray
gray53                #878787   #878878878   #878787878787   gray
gray54                #8a8a8a   #8a88a88a8   #8a8a8a8a8a8a   gray
gray55                #8c8c8c   #8c88c88c8   #8c8c8c8c8c8c   gray
gray56                #8f8f8f   #8f88f88f8   #8f8f8f8f8f8f   gray
gray57                #919191   #919919919   #919191919191   gray
gray58                #949494   #949949949   #949494949494   gray
gray59                #969696   #969969969   #969696969696   gray
gray60                #999999   #999999999   #999999999999   gray
gray61                #9c9c9c   #9c99c99c9   #9c9c9c9c9c9c   gray
gray62                #9e9e9e   #9e99e99e9   #9e9e9e9e9e9e   gray
gray63                #a1a1a1   #a19a19a19   #a1a1a1a1a1a1   gray
gray64                #a3a3a3   #a3aa3aa3a   #a3a3a3a3a3a3   gray
gray65                #a6a6a6   #a6aa6aa6a   #a6a6a6a6a6a6   gray
gray66                #a8a8a8   #a8aa8aa8a   #a8a8a8a8a8a8   gray
gray67                #ababab   #abaabaaba   #abababababab   gray
gray68                #adadad   #adaadaada   #adadadadadad   gray
gray69                #b0b0b0   #b0ab0ab0a   #b0b0b0b0b0b0   gray
gray70                #b3b3b3   #b3bb3bb3b   #b3b3b3b3b3b3   gray
gray71                #b5b5b5   #b5bb5bb5b   #b5b5b5b5b5b5   gray
gray72                #b8b8b8   #b8bb8bb8b   #b8b8b8b8b8b8   gray
gray73                #bababa   #babbabbab   #babababababa   gray
gray74                #bdbdbd   #bdbbdbbdb   #bdbdbdbdbdbd   gray
gray75                #bfbfbf   #bfbbfbbfb   #bfbfbfbfbfbf   gray
